,bathrooms,bedrooms,garage,location,other,price,title
61,2,3,1,piet-louw-street,"[u'1', u'Access Gate', u'Elec. Fencing', u'BIC', u'15 Palala Piet Louw Street', u'Marietjie Prinsloo']",R 1 365 000,Simplex in Die Wilgers
62,2,4,2,209-kokkewiet-street,"[u'2', u'Alarm', u'Pool', u'Patio', u'Clubhouse', u'209 Kokkewiet Street']",R 1 370 000,House in Silverton
63,2,3,2,31-oppiebult-31-plettenberg-street,"[u'2', u'Alarm', u'Pool', u'Paving', u'Pantry', u'31 Oppiebult 31 - Plettenberg Street', u'Christie van Heerden']",R 1 380 000,Townhouse in Faerie Glen
64,2,3,2,glen-road,"[u'2', u'Access Gate', u'Patio', u'24 Antigua Glen Road', u'Marietjie Prinsloo']",R 1 395 000,House in Equestria
65,3,3,1,stellanie,"[u'1', u'Pets', u'63 Forest Weaver Stellanie', u'Melain Fourie']",R 1 399 000,Townhouse in Willow Park Manor
66,2,3,2,1-glen-road,"[u'2', u'Alarm', u'Elec. Fencing', u'Security Post', u'BIC', u'1 Outeniqua 1 Glen Road', u'Marietjie Prinsloo']",R 1 420 000,Townhouse in Equestria
67,2,3,1,255-albertus-street,"[u'1', u'Pantry', u'Mount Grace 255 Albertus Street', u'Alton Mushazhirwa']",R 1 430 000,Townhouse in La Montagne
68,2,4,2,179-brenda-road,"[u'2', u'Pool', u'Staff Quarters', u'179 Brenda Road', u'Gunter Dockendorf']",R 1 550 000,House in Murrayfield
69,2.5,4,2,1060-cura-avenue,"[u'2', u'Pets', u'Staff Quarters', u'1060 Cura Avenue', u'Will Labuschagne']",R 1 600 000,Townhouse in Equestria
70,2,3,2,421-janine-street,"[u'2', u'Pets', u'Access Gate', u'Elec. Fencing', u'Patio', u'17 Willow Mews 421 Janine Street', u'Heleen Matthee']",R 1 650 000,House in Die Wilgers
71,2,3,Alarm,319-frangipani-street,"[u'Alarm', u'Garden Cott.', u'Patio', u'1 Ss Lamont 319 Frangipani Street', u'Insolvencies']",R 1 650 000,House in La Montagne
72,2,3,5 Lemon Tree Apartments 141 Albertus Street,141-albertus-street,"[u'5 Lemon Tree Apartments 141 Albertus Street', u'Erna van Nel']",R 1 100 000,Cluster in La Montagne
73,2,3,1 Lemon Tree Apartments 141 Albertus Street,141-albertus-street,"[u'1 Lemon Tree Apartments 141 Albertus Street', u'Erna van Nel']",R 1 100 000,Cluster in La Montagne
74,2,3,6388 Soetdoring Erf 3053 394 Petrick Avenue,394-petrick-avenue,"[u'6388 Soetdoring Erf 3053 394 Petrick Avenue', u'Nelis Bezuidenhout']",R 1 170 000,Townhouse in Faerie Glen
75,1,3,1,374-alfa,"[u'1', u'Pool', u'374 Alfa']",R 1 175 000,House in Silverton
76,2,3,1,1-furrow-street,"[u'1', u'Access Gate', u'Elec. Fencing', u'BIC', u'Built-in-Braai', u'20 Outeniqua 1 Furrow Street', u'Mariette Myburgh']",R 1 250 000,Townhouse in Equestria
77,2,3,2,00-ouklipmuur-avenue,"[u'2', u'Pets', u'Access Gate', u'Intercom', u'Patio', u'00 Zamar Place 00 Ouklipmuur Avenue']",R 1 280 000,Simplex in Equestria
78,1,3,300 Moreletta Street,300-moreletta-street,[u'300 Moreletta Street'],R 1 280 000,House in Silverton
79,1,3,2,2000-carinus,"[u'2', u'Pets', u'2000 Carinus']",R 1 280 000,House in Meyerspark
80,2,3,1,1-equestria,"[u'1', u'Pets', u'211 Equestria 1 Equestria', u'Danielle Gerber']",R 1 285 000,Townhouse in Equestria
81,2,3,1,30-onida-avenue-val-de-grace,"[u'1', u'Access Gate', u'BIC', u'30 Onida Avenue Val De Grace', u'Mhlalikwana Real Estate', u'Mhlalikwana Real Estate', u'Mhlalikwana Real Estate']",R 1 300 000,House in Silverton
82,1,2,Access Gate,678-farm,"[u'Access Gate', u'Security Post', u'Patio', u'BIC', u'Pretoria Oss Retirement Village 678 Farm']",R 1 300 000,Apartment in Equestria
83,2,3,1,49-piet-low-street,"[u'1', u'Pets', u'Alarm', u'Access Gate', u'Elec. Fencing', u'49 Piet Low Street', u'Christene Economou', u'Christene Economou', u'Christene Economou']",R 1 345 000,Townhouse in Die Wilgers
84,2,3,2,650-furrow-road,"[u'2', u'Pets', u'650 Furrow Road']",R 1 350 000,Townhouse in Equestria
85,2,3,1,piet-louw-street,"[u'1', u'Access Gate', u'Elec. Fencing', u'BIC', u'15 Palala Piet Louw Street', u'Marietjie Prinsloo']",R 1 365 000,Simplex in Die Wilgers
86,2,4,2,209-kokkewiet-street,"[u'2', u'Alarm', u'Pool', u'Patio', u'Clubhouse', u'209 Kokkewiet Street']",R 1 370 000,House in Silverton
87,2,3,2,31-oppiebult-31-plettenberg-street,"[u'2', u'Alarm', u'Pool', u'Paving', u'Pantry', u'31 Oppiebult 31 - Plettenberg Street', u'Christie van Heerden']",R 1 380 000,Townhouse in Faerie Glen
88,2,3,2,glen-road,"[u'2', u'Access Gate', u'Patio', u'24 Antigua Glen Road', u'Marietjie Prinsloo']",R 1 395 000,House in Equestria
89,3,3,1,stellanie,"[u'1', u'Pets', u'63 Forest Weaver Stellanie', u'Melain Fourie']",R 1 399 000,Townhouse in Willow Park Manor
90,2,3,2,1-glen-road,"[u'2', u'Alarm', u'Elec. Fencing', u'Security Post', u'BIC', u'1 Outeniqua 1 Glen Road', u'Marietjie Prinsloo']",R 1 420 000,Townhouse in Equestria
91,2,3,1,255-albertus-street,"[u'1', u'Pantry', u'Mount Grace 255 Albertus Street', u'Alton Mushazhirwa']",R 1 430 000,Townhouse in La Montagne
92,2,4,2,179-brenda-road,"[u'2', u'Pool', u'Staff Quarters', u'179 Brenda Road', u'Gunter Dockendorf']",R 1 550 000,House in Murrayfield
93,2.5,4,2,1060-cura-avenue,"[u'2', u'Pets', u'Staff Quarters', u'1060 Cura Avenue', u'Will Labuschagne']",R 1 600 000,Townhouse in Equestria
94,2,3,2,421-janine-street,"[u'2', u'Pets', u'Access Gate', u'Elec. Fencing', u'Patio', u'17 Willow Mews 421 Janine Street', u'Heleen Matthee']",R 1 650 000,House in Die Wilgers
95,2,3,Alarm,319-frangipani-street,"[u'Alarm', u'Garden Cott.', u'Patio', u'1 Ss Lamont 319 Frangipani Street', u'Insolvencies']",R 1 650 000,House in La Montagne
96,2,3,4 Lemon Tree Apartments 141 Albertus Street,141-albertus-street,"[u'4 Lemon Tree Apartments 141 Albertus Street', u'Erna van Nel']",R 1 100 000,Cluster in La Montagne
97,2,3,1 Lemon Tree Apartments 141 Albertus Street,141-albertus-street,"[u'1 Lemon Tree Apartments 141 Albertus Street', u'Erna van Nel']",R 1 100 000,Cluster in La Montagne
98,2,3,6388 Soetdoring Erf 3053 394 Petrick Avenue,394-petrick-avenue,"[u'6388 Soetdoring Erf 3053 394 Petrick Avenue', u'Nelis Bezuidenhout']",R 1 170 000,Townhouse in Faerie Glen
99,1,3,1,374-alfa,"[u'1', u'Pool', u'374 Alfa']",R 1 175 000,House in Silverton
100,2,3,1,1-furrow-street,"[u'1', u'Access Gate', u'Elec. Fencing', u'BIC', u'Built-in-Braai', u'20 Outeniqua 1 Furrow Street', u'Mariette Myburgh']",R 1 250 000,Townhouse in Equestria
101,2,3,2,00-ouklipmuur-avenue,"[u'2', u'Pets', u'Access Gate', u'Intercom', u'Patio', u'00 Zamar Place 00 Ouklipmuur Avenue']",R 1 280 000,Simplex in Equestria
102,1,3,300 Moreletta Street,300-moreletta-street,[u'300 Moreletta Street'],R 1 280 000,House in Silverton
103,1,3,2,2000-carinus,"[u'2', u'Pets', u'2000 Carinus']",R 1 280 000,House in Meyerspark
104,2,3,1,1-equestria,"[u'1', u'Pets', u'211 Equestria 1 Equestria', u'Danielle Gerber']",R 1 285 000,Townhouse in Equestria
105,2,3,1,30-onida-avenue-val-de-grace,"[u'1', u'Access Gate', u'BIC', u'30 Onida Avenue Val De Grace', u'Mhlalikwana Real Estate', u'Mhlalikwana Real Estate', u'Mhlalikwana Real Estate']",R 1 300 000,House in Silverton
106,1,2,Access Gate,678-farm,"[u'Access Gate', u'Security Post', u'Patio', u'BIC', u'Pretoria Oss Retirement Village 678 Farm']",R 1 300 000,Apartment in Equestria
107,2,3,1,49-piet-low-street,"[u'1', u'Pets', u'Alarm', u'Access Gate', u'Elec. Fencing', u'49 Piet Low Street', u'Christene Economou', u'Christene Economou', u'Christene Economou']",R 1 345 000,Townhouse in Die Wilgers
108,2,3,2,650-furrow-road,"[u'2', u'Pets', u'650 Furrow Road']",R 1 350 000,Townhouse in Equestria
109,2,3,1,piet-louw-street,"[u'1', u'Access Gate', u'Elec. Fencing', u'BIC', u'15 Palala Piet Louw Street', u'Marietjie Prinsloo']",R 1 365 000,Simplex in Die Wilgers
110,2,4,2,209-kokkewiet-street,"[u'2', u'Alarm', u'Pool', u'Patio', u'Clubhouse', u'209 Kokkewiet Street']",R 1 370 000,House in Silverton
111,2,3,2,31-oppiebult-31-plettenberg-street,"[u'2', u'Alarm', u'Pool', u'Paving', u'Pantry', u'31 Oppiebult 31 - Plettenberg Street', u'Christie van Heerden']",R 1 380 000,Townhouse in Faerie Glen
112,2,3,2,glen-road,"[u'2', u'Access Gate', u'Patio', u'24 Antigua Glen Road', u'Marietjie Prinsloo']",R 1 395 000,House in Equestria
113,3,3,1,stellanie,"[u'1', u'Pets', u'63 Forest Weaver Stellanie', u'Melain Fourie']",R 1 399 000,Townhouse in Willow Park Manor
114,2,3,2,1-glen-road,"[u'2', u'Alarm', u'Elec. Fencing', u'Security Post', u'BIC', u'1 Outeniqua 1 Glen Road', u'Marietjie Prinsloo']",R 1 420 000,Townhouse in Equestria
115,2,3,1,255-albertus-street,"[u'1', u'Pantry', u'Mount Grace 255 Albertus Street', u'Alton Mushazhirwa']",R 1 430 000,Townhouse in La Montagne
116,2,4,2,179-brenda-road,"[u'2', u'Pool', u'Staff Quarters', u'179 Brenda Road', u'Gunter Dockendorf']",R 1 550 000,House in Murrayfield
117,2.5,4,2,1060-cura-avenue,"[u'2', u'Pets', u'Staff Quarters', u'1060 Cura Avenue', u'Will Labuschagne']",R 1 600 000,Townhouse in Equestria
118,2,3,2,421-janine-street,"[u'2', u'Pets', u'Access Gate', u'Elec. Fencing', u'Patio', u'17 Willow Mews 421 Janine Street', u'Heleen Matthee']",R 1 650 000,House in Die Wilgers
119,2,3,Alarm,319-frangipani-street,"[u'Alarm', u'Garden Cott.', u'Patio', u'1 Ss Lamont 319 Frangipani Street', u'Insolvencies']",R 1 650 000,House in La Montagne
120,2,3,4 Lemon Tree Apartments 141 Albertus Street,141-albertus-street,"[u'4 Lemon Tree Apartments 141 Albertus Street', u'Erna van Nel']",R 1 100 000,Cluster in La Montagne
121,2,3,1 Lemon Tree Apartments 141 Albertus Street,141-albertus-street,"[u'1 Lemon Tree Apartments 141 Albertus Street', u'Erna van Nel']",R 1 100 000,Cluster in La Montagne
122,2,3,6388 Soetdoring Erf 3053 394 Petrick Avenue,394-petrick-avenue,"[u'6388 Soetdoring Erf 3053 394 Petrick Avenue', u'Nelis Bezuidenhout']",R 1 170 000,Townhouse in Faerie Glen
123,1,3,1,374-alfa,"[u'1', u'Pool', u'374 Alfa']",R 1 175 000,House in Silverton
124,2,3,1,1-furrow-street,"[u'1', u'Access Gate', u'Elec. Fencing', u'BIC', u'Built-in-Braai', u'20 Outeniqua 1 Furrow Street', u'Mariette Myburgh']",R 1 250 000,Townhouse in Equestria
125,2,3,2,00-ouklipmuur-avenue,"[u'2', u'Pets', u'Access Gate', u'Intercom', u'Patio', u'00 Zamar Place 00 Ouklipmuur Avenue']",R 1 280 000,Simplex in Equestria
126,1,3,300 Moreletta Street,300-moreletta-street,[u'300 Moreletta Street'],R 1 280 000,House in Silverton
127,1,3,2,2000-carinus,"[u'2', u'Pets', u'2000 Carinus']",R 1 280 000,House in Meyerspark
128,2,3,1,1-equestria,"[u'1', u'Pets', u'211 Equestria 1 Equestria', u'Danielle Gerber']",R 1 285 000,Townhouse in Equestria
129,2,3,1,30-onida-avenue-val-de-grace,"[u'1', u'Access Gate', u'BIC', u'30 Onida Avenue Val De Grace', u'Mhlalikwana Real Estate', u'Mhlalikwana Real Estate', u'Mhlalikwana Real Estate']",R 1 300 000,House in Silverton
130,1,2,Access Gate,678-farm,"[u'Access Gate', u'Security Post', u'Patio', u'BIC', u'Pretoria Oss Retirement Village 678 Farm']",R 1 300 000,Apartment in Equestria
131,2,3,1,49-piet-low-street,"[u'1', u'Pets', u'Alarm', u'Access Gate', u'Elec. Fencing', u'49 Piet Low Street', u'Christene Economou', u'Christene Economou', u'Christene Economou']",R 1 345 000,Townhouse in Die Wilgers
132,2,3,2,650-furrow-road,"[u'2', u'Pets', u'650 Furrow Road']",R 1 350 000,Townhouse in Equestria
133,2,3,1,piet-louw-street,"[u'1', u'Access Gate', u'Elec. Fencing', u'BIC', u'15 Palala Piet Louw Street', u'Marietjie Prinsloo']",R 1 365 000,Simplex in Die Wilgers
134,2,4,2,209-kokkewiet-street,"[u'2', u'Alarm', u'Pool', u'Patio', u'Clubhouse', u'209 Kokkewiet Street']",R 1 370 000,House in Silverton
135,2,3,2,31-oppiebult-31-plettenberg-street,"[u'2', u'Alarm', u'Pool', u'Paving', u'Pantry', u'31 Oppiebult 31 - Plettenberg Street', u'Christie van Heerden']",R 1 380 000,Townhouse in Faerie Glen
136,2,3,2,glen-road,"[u'2', u'Access Gate', u'Patio', u'24 Antigua Glen Road', u'Marietjie Prinsloo']",R 1 395 000,House in Equestria
137,3,3,1,stellanie,"[u'1', u'Pets', u'63 Forest Weaver Stellanie', u'Melain Fourie']",R 1 399 000,Townhouse in Willow Park Manor
138,2,3,2,1-glen-road,"[u'2', u'Alarm', u'Elec. Fencing', u'Security Post', u'BIC', u'1 Outeniqua 1 Glen Road', u'Marietjie Prinsloo']",R 1 420 000,Townhouse in Equestria
139,2,3,1,255-albertus-street,"[u'1', u'Pantry', u'Mount Grace 255 Albertus Street', u'Alton Mushazhirwa']",R 1 430 000,Townhouse in La Montagne
140,2,4,2,179-brenda-road,"[u'2', u'Pool', u'Staff Quarters', u'179 Brenda Road', u'Gunter Dockendorf']",R 1 550 000,House in Murrayfield
141,2.5,4,2,1060-cura-avenue,"[u'2', u'Pets', u'Staff Quarters', u'1060 Cura Avenue', u'Will Labuschagne']",R 1 600 000,Townhouse in Equestria
142,2,3,2,421-janine-street,"[u'2', u'Pets', u'Access Gate', u'Elec. Fencing', u'Patio', u'17 Willow Mews 421 Janine Street', u'Heleen Matthee']",R 1 650 000,House in Die Wilgers
143,2,3,Alarm,319-frangipani-street,"[u'Alarm', u'Garden Cott.', u'Patio', u'1 Ss Lamont 319 Frangipani Street', u'Insolvencies']",R 1 650 000,House in La Montagne
144,2,3,5 Lemon Tree Apartments 141 Albertus Street,141-albertus-street,"[u'5 Lemon Tree Apartments 141 Albertus Street', u'Erna van Nel']",R 1 100 000,Cluster in La Montagne
145,2,3,1 Lemon Tree Apartments 141 Albertus Street,141-albertus-street,"[u'1 Lemon Tree Apartments 141 Albertus Street', u'Erna van Nel']",R 1 100 000,Cluster in La Montagne
146,2,3,6388 Soetdoring Erf 3053 394 Petrick Avenue,394-petrick-avenue,"[u'6388 Soetdoring Erf 3053 394 Petrick Avenue', u'Nelis Bezuidenhout']",R 1 170 000,Townhouse in Faerie Glen
147,1,3,1,374-alfa,"[u'1', u'Pool', u'374 Alfa']",R 1 175 000,House in Silverton
148,2,3,1,1-furrow-street,"[u'1', u'Access Gate', u'Elec. Fencing', u'BIC', u'Built-in-Braai', u'20 Outeniqua 1 Furrow Street', u'Mariette Myburgh']",R 1 250 000,Townhouse in Equestria
149,2,3,2,00-ouklipmuur-avenue,"[u'2', u'Pets', u'Access Gate', u'Intercom', u'Patio', u'00 Zamar Place 00 Ouklipmuur Avenue']",R 1 280 000,Simplex in Equestria
150,1,3,300 Moreletta Street,300-moreletta-street,[u'300 Moreletta Street'],R 1 280 000,House in Silverton
151,1,3,2,2000-carinus,"[u'2', u'Pets', u'2000 Carinus']",R 1 280 000,House in Meyerspark
152,2,3,1,1-equestria,"[u'1', u'Pets', u'211 Equestria 1 Equestria', u'Danielle Gerber']",R 1 285 000,Townhouse in Equestria
153,2,3,1,30-onida-avenue-val-de-grace,"[u'1', u'Access Gate', u'BIC', u'30 Onida Avenue Val De Grace', u'Mhlalikwana Real Estate', u'Mhlalikwana Real Estate', u'Mhlalikwana Real Estate']",R 1 300 000,House in Silverton
154,1,2,Access Gate,678-farm,"[u'Access Gate', u'Security Post', u'Patio', u'BIC', u'Pretoria Oss Retirement Village 678 Farm']",R 1 300 000,Apartment in Equestria
155,2,3,1,49-piet-low-street,"[u'1', u'Pets', u'Alarm', u'Access Gate', u'Elec. Fencing', u'49 Piet Low Street', u'Christene Economou', u'Christene Economou', u'Christene Economou']",R 1 345 000,Townhouse in Die Wilgers
156,2,3,2,650-furrow-road,"[u'2', u'Pets', u'650 Furrow Road']",R 1 350 000,Townhouse in Equestria
